airport_id,name,city,country,iata_faa,icao,latitude,longitude,altitude,timezone,dst,the_geom,cartodb_id,created_at,updated_at
1609,Graz,Graz,Austria,GRZ,LOWG,46.991067,15.439628,1115,1,E,0101000020E6100000D1CFD4EB16E12E408A929048DB7E4740,3,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1610,Innsbruck,Innsbruck,Austria,INN,LOWI,47.260219,11.343964,1906,1,E,0101000020E6100000B000A60C1CB026401F662FDB4EA14740,6,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1614,Klagenfurt,Klagenfurt,Austria,,LOXK,46.642514,14.337739,1470,1,E,0101000020E6100000E02A4F20ECAC2C406F9C14E63D524740,7,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
4322,Woerthersee International Airport,Klagenfurt,Austria,KLU,LOWK,46.642514,14.337739,452,1,E,0101000020E6100000E02A4F20ECAC2C406F9C14E63D524740,8,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1611,Linz,Linz,Austria,LNZ,LOWL,48.233219,14.187511,978,1,E,0101000020E6100000D047197101602C4025E7C41EDA1D4840,10,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1612,Salzburg,Salzburg,Austria,SZG,LOWS,47.793304,13.004333,1411,1,E,0101000020E61000004F965AEF37022A409BE447FC8AE54740,16,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
8020,Wien Westbahnhof,Vienna,Austria,,\N,48.19657543,16.33749116,675,1,E,0101000020E61000009A9F1BD265563040A2CF2E6229194840,23,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1339,Meythet,Annecy,France,NCY,LFLP,45.929233,6.098764,1521,1,E,0101000020E6100000AD16D8632265184097AE601BF1F64640,34,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1334,Annemasse,Annemasse,France,QNJ,LFLI,46.191972,6.268386,1620,1,E,0101000020E610000028D192C7D3121940B5DFDA8992184740,35,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1329,Aix Les Bains,Chambery,France,CMF,LFLB,45.63805,5.880225,779,1,E,0101000020E6100000857CD0B3598517403D9B559FABD14640,61,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1425,Longvic,Dijon,France,DIJ,LFSD,47.26889,5.09,726,1,E,0101000020E61000005C8FC2F5285C1440581CCEFC6AA24740,70,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1340,Saint Geoirs,Grenoble,France,GNB,LFLS,45.362944,5.329375,1302,1,E,0101000020E6100000E17A14AE47511540C423F1F274AE4640,75,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1346,Bron,Lyon,France,LYN,LFLY,45.727172,4.944275,659,1,E,0101000020E6100000BBB88D06F0C613409148DBF813DD4640,87,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1353,Provence,Marseille,France,MRS,LFML,43.435555,5.213611,74,1,E,0101000020E610000070438CD7BCDA1440FD4D2844C0B74540,91,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1423,Bale Mulhouse,Mulhouse,France,MLH,LFSB,47.589583,7.529914,885,1,E,0101000020E61000002AC58EC6A11E1E4087A3AB7477CB4740,100,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
6810,EuroAirport,Mulhouse,France,EAP,\N,47.589583,7.529914,885,1,E,0101000020E61000002AC58EC6A11E1E4087A3AB7477CB4740,101,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1354,Cote D\\'Azur,Nice,France,NCE,LFMN,43.658411,7.215872,12,1,E,0101000020E61000000B7DB08C0DDD1C40D029C8CF46D44540,103,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1356,Rivesaltes,Perpignan,France,PGF,LFMP,42.740442,2.870667,144,1,E,0101000020E6100000C6A6954220F70640DC4AAFCDC65E4540,109,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1286,Lasbordes,Toulouse,France,,LFCL,43.586113,1.499167,459,1,E,0101000020E610000000E1438996FCF73F566133C005CB4540,124,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1525,Bergamo Orio Al Serio,Bergamo,Italy,BGY,LIME,45.673889,9.704166,782,1,E,0101000020E610000008E92972886823402C11A8FE41D64640,137,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1536,Bolzano,Bolzano,Italy,BZO,LIPB,46.460194,11.326383,789,1,E,0101000020E6100000D4F02DAC1BA7264060E811A3E73A4740,139,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1544,Montichiari,Brescia,Italy,VBS,LIPO,45.428889,10.330556,356,1,E,0101000020E61000003FFED2A23EA924409C4EB2D5E5B64640,140,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1534,Levaldigi,Cuneo,Italy,CUF,LIMZ,44.547019,7.623217,1267,1,E,0101000020E6100000B43EE5982C7E1E4033A5F5B704464640,146,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1529,Linate,Milan,Italy,LIN,LIML,45.445103,9.276739,353,1,E,0101000020E6100000340EF5BBB08D2240FE2C9622F9B84640,155,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1524,Malpensa,Milano,Italy,MXP,LIMC,45.630606,8.728111,767,1,E,0101000020E610000039B709F7CA742140A85489B2B7D04640,158,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1526,Torino,Torino,Italy,TRN,LIMF,45.200761,7.649631,989,1,E,0101000020E610000001DF6DDE38991E40F8A75489B2994640,170,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1547,Istrana,Treviso,Italy,,LIPS,45.684867,12.082881,137,1,E,0101000020E610000068EBE0606F2A2840088ECBB8A9D74640,172,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1551,Venezia Tessera,Venice,Italy,VCE,LIPZ,45.505278,12.351944,7,1,E,0101000020E6100000FE0B040132B42840B3B112F3ACC04640,177,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1550,Villafranca,Villafranca,Italy,VRN,LIPX,45.395706,10.888533,239,1,E,0101000020E610000063D520CCEDC625405D6A847EA6B24640,180,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
4053,EuroAirport Basel-Mulhouse-Freiburg,Basel,Switzerland,BSL,\N,47.59,7.529167,885,1,E,0101000020E61000005F7D3CF4DD1D1E40EC51B81E85CB4740,187,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1676,Bern Belp,Bern,Switzerland,BRN,LSZB,46.9141,7.497153,1674,1,E,0101000020E6100000E36E10AD15FD1D4005A3923A01754740,188,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1665,Geneve Cointrin,Geneva,Switzerland,GVA,LSGG,46.238064,6.10895,1411,1,E,0101000020E6100000C898BB96906F18406F2D93E1781E4740,198,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1675,Lugano,Lugano,Switzerland,LUG,LSZA,46.004275,8.910578,915,1,E,0101000020E610000007EA944737D221405F984C158C004740,208,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1667,Sion,Sion,Switzerland,SIR,LSGS,46.219592,7.326764,1585,1,E,0101000020E6100000630AD6389B4E1D404B3B35971B1C4740,224,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
1678,Zurich,Zurich,Switzerland,ZRH,LSZH,47.464722,8.549167,1416,1,E,0101000020E6100000BA15C26A2C192140A9DDAF027CBB4740,233,2014-01-18 09:26:19.765298+00,2014-01-18 09:26:20.047568+00
