cartodb_id,name,description,created_at,updated_at,the_geom
35,Zell am Ziller,,2013-12-28 10:09:46.229774+00,2013-12-28 10:09:52.545567+00,0101000020E610000046172700F7C327400167AD91F29D4740
1,bad gastein,,2013-12-28 09:10:58.532485+00,2013-12-28 09:11:15.07464+00,0101000020E61000008BD9F57FCC3E2A402F1ED602188F4740
25,Scheffau,,2013-12-28 10:01:58.126186+00,2013-12-28 10:02:09.050026+00,0101000020E61000006BC3D5BFF37E284030DFD131ADC24740
2,Bad Kleinkirchheim,,2013-12-28 09:12:29.436962+00,2013-12-28 09:12:42.658181+00,0101000020E610000093152600BD902B40D98BD3D6A9684740
26,Schladming,,2013-12-28 10:02:39.313497+00,2013-12-28 10:02:51.979945+00,0101000020E6100000DC21EE7FBA5E2B401F39888C7DB24740
3,Ellmau,,2013-12-28 09:13:15.986727+00,2013-12-28 09:13:23.245647+00,0101000020E6100000FB38DC3FFD9A28409DC8FE3FEFC14740
19,Kirchberg,,2013-12-28 09:45:43.053331+00,2013-12-28 09:45:56.156951+00,0101000020E6100000D1C6D7BF67A12840E0986DC04AB94740
4,Fieberbrun,,2013-12-28 09:13:53.846223+00,2013-12-28 09:13:59.202077+00,0101000020E6100000297613000C1729408CCDD8E1F9BC4740
27,Seefeld,,2013-12-28 10:04:19.226628+00,2013-12-28 10:04:36.186774+00,0101000020E6100000603F1FC07D602640B89A2B395DAA4740
5,Flachau,,2013-12-28 09:14:39.185599+00,2013-12-28 09:14:44.72358+00,0101000020E6100000A824E3FF2BC82A4058A646853DAC4740
28,Solden,,2013-12-28 10:05:11.094424+00,2013-12-28 10:05:21.441058+00,0101000020E6100000B96AE03FC4032640D5B4E622997B4740
6,Galtur,,2013-12-28 09:15:23.172504+00,2013-12-28 09:15:29.043435+00,0101000020E61000001172DEFFC75F2440C6E86FF8137C4740
36,Zurs,,2013-12-28 10:10:17.79424+00,2013-12-28 10:10:27.261042+00,0101000020E6100000813E1560ED522440D15AF2F421964740
29,Soll,,2013-12-28 10:05:52.492944+00,2013-12-28 10:05:57.729873+00,0101000020E6100000308C0D4017632840B235B6323CC04740
7,Hintertux,,2013-12-28 09:16:51.284674+00,2013-12-28 09:16:57.261+00,0101000020E61000009355F05F495D2740DFC9E172C08E4740
8,Hochgurgl,,2013-12-28 09:17:35.598935+00,2013-12-28 09:17:40.306495+00,0101000020E61000001A3F22E0EF192640EA5632742A734740
30,St Anton,,2013-12-28 10:06:19.168319+00,2013-12-28 10:06:27.194232+00,0101000020E6100000D1F1EA7F2D892440A74CDEBE96904740
9,Ischgl,,2013-12-28 09:18:19.360299+00,2013-12-28 09:18:27.193674+00,0101000020E6100000C1A7DEBF1E942440EA3886197D814740
20,Niederau,,2013-12-28 09:52:22.010687+00,2013-12-28 09:53:02.141412+00,0101000020E6100000AC9821C0AF2C2840895937F7BAB94740
10,Kaprun,,2013-12-28 09:19:46.523602+00,2013-12-28 09:19:52.353208+00,0101000020E61000009F42E87F3D832940523E2DD454A34740
31,St Johann in Tirol,,2013-12-28 10:06:54.647761+00,2013-12-28 10:06:59.958204+00,0101000020E61000006B5C072018DC284012C0CDE2C5C24740
32,St Michael,,2013-12-28 10:07:41.405214+00,2013-12-28 10:07:47.578338+00,0101000020E6100000A112F83F97492B40A0B4C3A1AF8C4740
12,Kitzbuhel,,2013-12-28 09:33:28.258373+00,2013-12-28 09:34:26.367071+00,0101000020E610000000000080AEC72840AB017A0AE4B84740
13,Kitzbuhel,,2013-12-28 09:34:56.144193+00,2013-12-28 09:35:03.947391+00,0101000020E6100000B15C0400A6C8284036820142F3B84740
33,Westendorf,,2013-12-28 10:08:22.996723+00,2013-12-28 10:08:29.141436+00,0101000020E610000001D41E40D06D2840B4E6E86D43B74740
14,Kuhtai,,2013-12-28 09:35:58.50161+00,2013-12-28 09:36:04.383585+00,0101000020E6100000D789ECFFF3042640337E4C31289B4740
34,Wildschonau,,2013-12-28 10:08:56.536567+00,2013-12-28 10:09:01.815195+00,0101000020E61000001B7BDDBF051328405CA159234CB44740
21,Obergurgl,,2013-12-28 09:53:41.170653+00,2013-12-28 09:53:47.420168+00,0101000020E6100000B315EA9F960D26402A040F5F686F4740
15,Lech,,2013-12-28 09:36:51.354685+00,2013-12-28 09:36:56.096231+00,0101000020E6100000AC17E87F5E4924405E8EEC84F69A4740
16,Lermoos,,2013-12-28 09:38:04.519147+00,2013-12-28 09:38:11.839994+00,0101000020E6100000A87A0980B7C12540E225B4BCDDB34740
17,Maria Alm,,2013-12-28 09:39:01.828322+00,2013-12-28 09:39:08.242581+00,0101000020E61000007F37F64FE4CF294083F60BF20AB44740
18,Mayrhofen,,2013-12-28 09:39:48.342476+00,2013-12-28 09:39:57.671811+00,0101000020E61000000D0013C0E6B92740D29500E3B6954740
22,Obertauern,,2013-12-28 09:54:09.013076+00,2013-12-28 09:54:15.900901+00,0101000020E6100000502026C0341D2B406EB36785D89F4740
23,Rauris,,2013-12-28 09:54:52.411399+00,2013-12-28 09:55:06.261016+00,0101000020E6100000B96D21C0D0FA2940D20C7768379D4740
24,Saalbach,,2013-12-28 09:55:46.982324+00,2013-12-28 09:56:02.26438+00,0101000020E610000046C100806B462940B6FA66721CB24740
